state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10700	0.013	0.623	0.013	1	1	3.369	0.015	3.972	17.36	-1136.78	0.00	0.00
10800	0.010	0.400	0.010	1	1	0.986	0.015	4.091	17.92	-1136.77	0.00	0.00
10900	0.011	0.355	0.011	1	1	1.225	0.024	4.091	19.80	-1136.77	-0.07	0.00
11000	0.015	0.391	0.015	1	1	0.159	0.023	4.091	18.16	-1136.77	0.00	-0.15
11100	0.011	0.384	0.011	1	1	1.454	0.042	4.091	16.99	-1136.77	-0.00	-0.69
11200	0.010	0.490	0.010	1	2	1.777	0.046	3.931	24.72	-1137.47	0.00	0.00
11300	0.008	0.343	0.008	1	4	2.381	0.046	3.931	26.84	-1138.17	-0.00	-0.69
11400	0.009	0.523	0.009	1	2	2.193	0.055	3.931	27.87	-1137.47	-0.00	0.00
11500	0.008	0.559	0.008	1	2	2.500	0.055	3.905	28.10	-1137.47	0.00	-7.72
11600	0.008	0.712	0.008	1	2	1.140	0.055	3.905	28.14	-1137.46	0.00	-0.03
11700	0.009	0.453	0.009	1	2	0.896	0.055	3.905	28.51	-1137.46	-0.00	0.00
11800	0.009	0.268	0.009	1	2	1.603	0.068	3.970	27.14	-1137.47	-0.04	0.00
11900	0.007	0.328	0.007	1	2	1.900	0.068	3.961	28.10	-1137.47	0.00	0.00
12000	0.010	0.376	0.010	1	2	2.362	0.073	3.986	25.58	-1137.47	-0.00	0.15
12100	0.007	0.546	0.007	1	3	1.684	0.050	3.986	32.68	-1137.87	-0.00	0.00
12200	0.008	0.561	0.008	1	2	3.834	0.052	3.986	28.00	-1137.47	-0.41	0.00
12300	0.007	0.388	0.007	1	2	3.853	0.074	3.986	26.75	-1137.47	-0.00	-0.69
12400	0.008	0.176	0.008	1	2	3.220	0.074	4.060	25.35	-1137.47	0.00	-7.68
12500	0.007	0.125	0.007	1	2	2.247	0.033	4.060	26.22	-1137.47	-0.41	0.00
12600	0.009	0.196	0.009	1	4	2.605	0.033	3.927	26.39	-1138.17	-0.00	0.00
12700	0.007	0.178	0.007	1	2	2.340	0.016	3.929	28.12	-1137.47	0.00	-7.88
12800	0.009	0.226	0.009	1	2	5.851	0.019	3.929	27.87	-1137.48	-0.41	0.00
12900	0.007	0.188	0.007	1	3	3.876	0.047	3.929	27.87	-1137.88	-0.41	0.00
13000	0.008	0.137	0.008	1	2	3.402	0.047	3.929	28.66	-1137.47	0.00	-7.69
13100	0.007	0.110	0.007	1	2	2.024	0.025	3.929	29.75	-1137.47	0.70	0.00
13200	0.008	0.121	0.008	1	2	3.931	0.029	3.929	29.32	-1137.47	0.00	-7.70
13300	0.009	0.215	0.009	1	2	2.513	0.036	3.929	29.26	-1137.47	-0.00	0.30
13400	0.009	0.242	0.009	1	3	2.363	0.022	3.949	28.37	-1137.88	-0.00	-0.69
13500	0.008	0.365	0.008	1	2	2.592	0.022	3.949	29.81	-1137.47	0.70	0.00
13600	0.009	0.345	0.009	1	2	5.505	0.036	3.942	28.25	-1137.48	0.00	0.00
13700	0.007	0.258	0.007	1	2	10.077	0.036	3.942	28.38	-1137.49	0.00	-7.81
13800	0.012	0.328	0.012	1	2	8.193	0.042	3.942	25.37	-1137.49	-0.03	0.00
13900	0.010	0.576	0.010	1	2	10.787	0.042	3.961	24.75	-1137.49	0.70	0.00
14000	0.008	0.746	0.008	1	2	10.556	0.042	3.961	25.12	-1137.49	0.00	-7.74
14100	0.009	0.618	0.009	1	2	9.641	0.051	3.963	26.86	-1137.49	0.70	0.00
14200	0.006	0.446	0.006	1	2	3.522	0.051	3.963	28.21	-1137.47	-0.03	0.00
14300	0.007	0.620	0.007	1	3	4.098	0.051	3.963	24.65	-1137.89	-0.00	0.48
14400	0.008	1.067	0.008	1	2	5.000	0.051	3.880	24.51	-1137.48	-0.05	0.00
14500	0.008	1.093	0.008	1	2	5.256	0.051	3.880	26.95	-1137.48	0.00	0.00
14600	0.009	1.630	0.009	1	2	5.114	0.051	3.880	26.46	-1137.48	-0.00	0.17
14700	0.008	1.620	0.008	1	2	3.957	0.051	3.880	26.97	-1137.47	-0.04	0.00
14800	0.008	1.866	0.008	1	2	5.190	0.051	3.880	26.57	-1137.48	0.00	-7.76
14900	0.008	2.031	0.008	1	2	6.642	0.044	3.880	26.67	-1137.48	0.00	0.69
15000	0.010	2.697	0.010	1	2	10.830	0.044	3.830	24.86	-1137.49	0.00	-7.52
15100	0.008	2.172	0.008	1	2	7.019	0.028	3.994	27.25	-1137.49	0.00	0.69
15200	0.013	1.386	0.013	1	2	4.987	0.039	3.994	24.25	-1137.48	0.00	-7.23
15300	0.007	1.116	0.007	1	2	5.646	0.033	3.994	26.88	-1137.48	-0.41	0.00
15400	0.009	2.019	0.009	1	2	9.135	0.000	3.994	27.22	-1137.49	0.00	0.69
15500	0.008	1.647	0.008	1	2	14.512	0.021	3.994	26.93	-1137.51	0.00	0.00
15600	0.008	1.527	0.008	1	2	21.739	0.021	3.994	26.16	-1137.53	0.00	0.00
15700	0.008	1.618	0.008	1	2	21.570	0.021	3.994	26.28	-1137.53	-0.00	-0.69
15800	0.010	2.332	0.010	1	2	16.534	0.021	3.769	23.80	-1137.51	0.71	0.00
15900	0.009	1.432	0.009	1	2	8.547	0.021	3.769	24.76	-1137.49	-0.00	0.22
16000	0.010	0.862	0.010	1	3	2.570	0.013	3.955	28.10	-1137.88	-0.03	0.00
16100	0.010	1.020	0.010	1	3	3.624	0.013	3.955	25.57	-1137.88	0.00	0.69
16200	0.009	1.104	0.009	1	2	5.774	0.011	3.955	28.06	-1137.48	0.00	0.00
16300	0.009	1.128	0.009	1	2	12.609	0.004	3.955	27.75	-1137.50	-0.00	-0.69
16400	0.009	1.128	0.009	1	2	11.904	0.008	3.955	27.70	-1137.50	-0.01	0.00
16500	0.009	1.008	0.009	1	2	11.429	0.008	3.955	27.46	-1137.49	0.00	0.00
16600	0.009	1.043	0.009	1	2	7.839	0.007	3.955	27.80	-1137.48	0.00	-7.59
16700	0.008	0.473	0.008	1	2	5.368	0.039	3.867	28.00	-1137.48	0.00	0.00
16800	0.009	0.357	0.009	1	2	4.985	0.045	3.867	27.29	-1137.48	0.00	0.69
16900	0.007	0.300	0.007	1	2	5.603	0.047	3.867	27.81	-1137.48	-0.00	0.00
17000	0.008	0.659	0.008	1	2	10.611	0.026	3.867	27.55	-1137.49	0.00	-0.25
